country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,57898,2546.0,52168,3184,1124.0,1461,64.0,382972.0,9666.0,39621758
Albania,Europe,129594,2342.0,101584,25668,18.0,45072,815.0,603410.0,209861.0,2875289
Algeria,Africa,119642,3155.0,83397,33090,21.0,2690,71.0,230861.0,5190.0,44478489
Andorra,Europe,12805,123.0,12203,479,29.0,165516,1590.0,193595.0,2502391.0,77364
Angola,Africa,24389,561.0,22597,1231,20.0,724,17.0,445121.0,13219.0,33671949
Anguilla,North America,29,,25,4,,1919,,17376.0,1150043.0,15109
Antigua And Barbuda,North America,1216,31.0,986,199,4.0,12336,314.0,16493.0,167316.0,98574
Argentina,South America,2694014,59228.0,2364171,270615,4105.0,59176,1301.0,10154530.0,223051.0,45525551
Armenia,Asia,208520,3878.0,187466,17176,,70264,1307.0,935427.0,315207.0,2967658
Aruba,North America,10324,92.0,9781,451,14.0,96372,859.0,140662.0,1313040.0,107127
Australia,Australia/Oceania,29531,910.0,26437,2184,,1148,35.0,16360654.0,635737.0,25734931
Austria,Europe,593423,9898.0,555218,28307,546.0,65591,1094.0,28823897.0,3185907.0,9047312
Azerbaijan,Asia,300666,4140.0,264403,32123,,29443,405.0,3108924.0,304443.0,10211851
Bahamas,North America,9634,194.0,8984,456,3.0,24314,490.0,81855.0,206584.0,396231
Bahrain,Asia,164110,594.0,152361,11155,92.0,93878,340.0,3903112.0,2232759.0,1748112
Bangladesh,Asia,718950,10385.0,614936,93629,,4331,63.0,5170067.0,31146.0,165993675
Barbados,North America,3781,44.0,3665,72,,13144,153.0,148641.0,516732.0,287656
Belarus,Europe,344223,2423.0,334852,6948,,36438,256.0,5666746.0,599856.0,9446843
Belgium,Europe,949996,23747.0,804223,122026,924.0,81686,2042.0,11985089.0,1030550.0,11629800
Belize,North America,12538,318.0,12143,77,1.0,31085,788.0,109796.0,272212.0,403348
Benin,Africa,7611,95.0,6728,788,35.0,615,8.0,575088.0,46476.0,12373962
Bermuda,North America,2123,18.0,1237,868,41.0,34190,290.0,225628.0,3633652.0,62094
Bhutan,Asia,957,1.0,878,78,,1230,1.0,664713.0,853993.0,778359
Bolivia,South America,289066,12648.0,238195,38223,71.0,24498,1072.0,1047561.0,88781.0,11799417
Bosnia And Herzegovina,Europe,188994,7788.0,145863,35343,,57894,2386.0,862452.0,264190.0,3264508
Botswana,Africa,44075,671.0,39493,3911,1.0,18447,281.0,969789.0,405902.0,2389218
Brazil,South America,13943071,373442.0,12391599,1178030,8318.0,65227,1747.0,28600000.0,133794.0,213761802
British Virgin Islands,North America,187,1.0,182,4,,6153,33.0,35791.0,1177684.0,30391
Brunei Darussalam,Asia,221,3.0,206,12,,501,7.0,116596.0,264505.0,440809
Bulgaria,Europe,386381,15195.0,306678,64508,783.0,55944,2200.0,2362070.0,342001.0,6906620
Burkina Faso,Africa,13129,154.0,12759,216,,615,7.0,176994.0,8288.0,21355685
Burundi,Africa,3477,6.0,773,2698,,286,,90019.0,7397.0,12170025
Cabo Verde,Africa,20466,192.0,18041,2233,23.0,36495,342.0,142081.0,253360.0,560786
Cambodia,Asia,6389,43.0,2476,3870,,378,3.0,811284.0,47998.0,16902622
Cameroon,Africa,64809,939.0,57821,6049,385.0,2394,35.0,1257949.0,46474.0,27067977
Canada,North America,1121498,23623.0,1009950,87925,1167.0,29509,622.0,29907670.0,786934.0,38005328
Caribbean Netherlands,North America,1547,15.0,1448,84,,58561,568.0,10025.0,379490.0,26417
Cayman Islands,North America,525,2.0,499,24,,7914,30.0,86495.0,1303912.0,66335
Central African Republic,Africa,5787,75.0,5112,600,2.0,1182,15.0,40907.0,8355.0,4896325
Chad,Africa,4706,169.0,4342,195,,280,10.0,110863.0,6600.0,16797687
Channel Islands,Europe,4053,86.0,3956,11,1.0,23142,491.0,399901.0,2283361.0,175137
Chile,South America,1124718,25177.0,1053635,45906,3308.0,58437,1308.0,12278835.0,637971.0,19246710
China Hong Kong Sar,Asia,11684,209.0,11270,205,4.0,1549,28.0,11193673.0,1483517.0,7545364
China Macao Sar,Asia,49,,48,1,,75,,4418.0,6731.0,656361
China,Asia,90510,4636.0,85559,315,6.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2652947,68328.0,2471498,113121,4299.0,51700,1332.0,13844971.0,269809.0,51313902
Comoros,Africa,3819,146.0,3595,78,,4319,165.0,,,884260
Congo,Africa,10084,139.0,8208,1737,,1793,25.0,92500.0,16443.0,5625418
Costa Rica,North America,228577,3071.0,196974,28532,236.0,44547,599.0,895974.0,174616.0,5131107
Cote D Ivoire,Africa,45560,274.0,45129,157,,1694,10.0,557294.0,20722.0,26894422
Croatia,Europe,307790,6562.0,285560,15668,194.0,75346,1606.0,1700615.0,416304.0,4085032
Cuba,North America,93511,525.0,88035,4951,64.0,8260,46.0,3363901.0,297136.0,11321100
Curacao,North America,11882,89.0,9277,2516,22.0,72175,541.0,89727.0,545029.0,164628
Cyprus,Asia,56259,291.0,39061,16907,65.0,46328,240.0,4339111.0,3573188.0,1214353
Czech Republic,Europe,1601881,28426.0,1495624,77831,938.0,149362,2650.0,15590376.0,1453673.0,10724820
Democratic Republic Of The Congo,Africa,28956,745.0,25841,2370,,316,8.0,145038.0,1582.0,91707797
Denmark,Europe,242633,2455.0,231166,9012,35.0,41772,423.0,31934942.0,5498011.0,5808454
Djibouti,Africa,10460,116.0,9172,1172,,10466,116.0,144015.0,144101.0,999401
Dominica,North America,165,,159,6,,2288,,13500.0,187167.0,72128
Dominican Republic,North America,261129,3418.0,218724,38987,157.0,23881,313.0,1370499.0,125338.0,10934383
Ecuador,South America,360546,17703.0,309541,33302,621.0,20192,991.0,1228641.0,68810.0,17855589
Egypt,Africa,216334,12738.0,163479,40117,90.0,2083,123.0,2677262.0,25777.0,103863312
El Salvador,North America,67557,2075.0,63787,1695,62.0,10374,319.0,888633.0,136455.0,6512268
Equatorial Guinea,Africa,7259,106.0,6885,268,11.0,5043,74.0,116266.0,80781.0,1439282
Eritrea,Africa,3491,10.0,3288,193,,974,3.0,23693.0,6608.0,3585380
Estonia,Europe,117554,1092.0,101879,14583,54.0,88570,823.0,1231295.0,927707.0,1327246
Ethiopia,Africa,242028,3370.0,179315,59343,1027.0,2065,29.0,2501570.0,21342.0,117213752
Faeroe Islands,Europe,662,1.0,660,1,,13507,20.0,248528.0,5070862.0,49011
Falkland Islands Malvinas,South America,62,,55,7,,17416,,7191.0,2019944.0,3560
Fiji,Australia/Oceania,72,2.0,65,5,,80,2.0,42492.0,47129.0,901614
Finland,Europe,84131,887.0,46000,37244,34.0,15165,160.0,4264615.0,768734.0,5547583
France,Europe,5289526,100733.0,4115944,1072849,5893.0,80894,1541.0,72191601.0,1104039.0,65388646
French Guiana,South America,18081,95.0,9995,7991,13.0,59322,312.0,200985.0,659408.0,304796
French Polynesia,Australia/Oceania,18696,141.0,4842,13713,1.0,66251,500.0,26355.0,93391.0,282201
Gabon,Africa,21858,133.0,18507,3218,20.0,9641,59.0,687026.0,303021.0,2267253
Gambia,Africa,5720,170.0,5190,360,3.0,2316,69.0,60815.0,24619.0,2470240
